Hindi Sentence,English Sentence,Roman Hindi,Topic/Tense,Situation,Level,Accepted Answers,Explanation
मैं घर पर हूँ।,I am at home.,main ghar par हूँ,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
आप तैयार हैं।,You are ready.,aap taiyar हैं,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
वह आज व्यस्त है।,He is busy today.,vah aaj vyast है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
वह कक्षा में है।,She is in the class.,vah kaksha mein है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
हम खुश हैं।,We are happy.,hum khush हैं,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
वे देर से हैं।,They are late.,ve der se हैं,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
मेरा भाई ऑनलाइन है।,My brother is online.,mera bhai online है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
मेरी बहन अभी उपलब्ध है।,My sister is available now.,meri bahan abhi uplabdh है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
शिक्षक आत्मविश्वासी है।,The teacher is confident.,shikshak aatmavishwasi है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
छात्र शाम को फ्री है।,The student is free in the evening.,chhatra shaam ko free है,Use of is/am/are,Simple,Beginner,,Practice Simple sentences for Use of is/am/are.
मैं घर पर नहीं हूँ।,I am not at home.,main ghar par nahi हूँ,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
आप तैयार नहीं हैं।,You are not ready.,aap taiyar nahi हैं,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
वह आज व्यस्त नहीं है।,He is not busy today.,vah aaj vyast nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
वह कक्षा में नहीं है।,She is not in the class.,vah kaksha mein nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
हम खुश नहीं हैं।,We are not happy.,hum khush nahi हैं,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
वे देर से नहीं हैं।,They are not late.,ve der se nahi हैं,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
मेरा भाई ऑनलाइन नहीं है।,My brother is not online.,mera bhai online nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
मेरी बहन अभी उपलब्ध नहीं है।,My sister is not available now.,meri bahan abhi uplabdh nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
शिक्षक आत्मविश्वासी नहीं है।,The teacher is not confident.,shikshak aatmavishwasi nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
छात्र शाम को फ्री नहीं है।,The student is not free in the evening.,chhatra shaam ko free nahi है,Use of is/am/are,Negative,Beginner,,Practice Negative sentences for Use of is/am/are.
क्या मैं घर पर हूँ?,Am i at home?,kya main ghar par हूँ,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या आप तैयार हैं?,Are you ready?,kya aap taiyar हैं,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या वह आज व्यस्त है?,Is he busy today?,kya vah aaj vyast है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या वह कक्षा में है?,Is she in the class?,kya vah kaksha mein है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
